Jogador,Clube Origem,Clube Destino
Dodô,Santos FC,Fim de carreira
Douglas Borel,EC Bahia,Sem clube
Douglas Borel,Goiás,EC Bahia
Douglas Borel,Portuguesa,EC Bahia
Douglas Costa,Fluminense FC,Sydney FC
Du Queiroz,Grêmio FBPA,Zenit
Du Queiroz,Zenit,Sport Recife
Dudu,Criciúma,Fortaleza EC
Dudu,Cruzeiro EC,Atlético Mineiro
Dudu,Cruzeiro EC,Atlético Mineiro
Dudu,EC Vitória,Novorizontino
Dudu,EC Vitória,Ponte Preta
Dudu,Fortaleza EC,Athletico Paranaense
Dudu,Fortaleza EC,Criciúma
Dudu,Novorizontino,EC Vitória
Dudu,SE Palmeiras,Cruzeiro EC
Dudu,SE Palmeiras,Cruzeiro EC
Dudu Miraíma,CSA,EC Vitória
Dudu Miraíma,EC Vitória,Noroeste
Dudu Miraíma,EC Vitória,São Bernardo
Dudu Miraíma,Noroeste,EC Vitória
Dudu Vieira,EC Juventude,Paysandu
Dudu Vieira,Ponte Preta,EC Juventude
Dylan Borrero,New England,Fortaleza EC
Dyogo Alves,Flamengo U20,CR Flamengo
Dênis Júnior,EC Bahia,Ferroviária
Dênis Júnior,Vila Nova,EC Bahia
Echaporã,Atlético Mineiro,Londrina
Echaporã,Atlético Mineiro,São Bernardo
Echaporã,Londrina,Atlético Mineiro
Echaporã,Remo,Atlético Mineiro
Ed Carlos,Betim Futebol,Santos FC
Ed Carlos,Santos FC,Niki Volos
Edinho,Fortaleza EC,Paysandu
Edinho,Paysandu,Fortaleza EC
Edson Carioca,EC Juventude,Azuriz
Edson Carioca,Goiás,Mirassol FC
Edu Ribeiro,Goiás,EC Vitória
Eduard Atuesta,LAFC,SE Palmeiras
Eduard Atuesta,SE Palmeiras,Orlando
Eduardo,Botafogo FR,Cruzeiro EC
Eduardo,Botafogo FR,Cruzeiro EC
Eduardo Vargas,Atlético Mineiro,Nacional
Elias Manoel,Salt Lake,Botafogo FR
Emerson Batalla,CA Talleres,EC Juventude
Emerson Galego,Petrolina,EC Juventude
Emerson Junior,Atlético-GO,SC Internacional
Emerson Junior,SC Internacional,Guarani
Emerson Rodríguez,CR Vasco da Gama,Miami
Emerson Rodríguez,Miami,CR Vasco da Gama
Emerson Urso,Botafogo FR,Vila Nova
Emerson Urso,Vila Nova,Botafogo FR
Emiliano Martínez,Midtjylland,SE Palmeiras
Endrick,SE Palmeiras,Real Madrid
Enzo,Mirassol FC,Santo André
Enzo,Santo André,Mirassol FC
Enzo Díaz,River Plate,São Paulo FC
Enzo Monteiro,Santos FC,Auda
Enzo Monteiro,Santos U20,Santos FC
Eric,Ceará SC,Ferroviária
Eric,Ceará SC,Jacuipense
Eric,Jacuipense,Ceará SC
Eric,Jacuipense,Ceará SC
Erick,Athletico Paranaense,EC Bahia
Erick,São Paulo FC,EC Vitória
Erick,São Paulo FC,EC Vitória
Erick Farias,EC Juventude,Ulsan HD
Erick Marcus,CR Vasco da Gama,Ludogorets
Erick Noriega,Alianza Lima,Grêmio FBPA
Erick Pulga,Ceará SC,EC Bahia
Erick Pulga,Ceará SC,EC Bahia
Eros Mancuso,Estudiantes LP,Fortaleza EC
Eryc Castillo,Coritiba,EC Vitória
Eryc Castillo,EC Vitória,Alianza Lima
Eryc Castillo,EC Vitória,Coritiba
Esquerdinha,Fluminense FC,QPR
Esquerdinha,Fluminense U20,Fluminense FC
Estêvão,Guarani,SC Internacional
Estêvão,Inter Limeira,SC Internacional
Estêvão,SC Internacional,Guarani
Estêvão,SC Internacional,Inter Limeira
Estêvão,SC Internacional,São José-RS
Estêvão,Vila Nova,SC Internacional
Everaldo,EC Bahia,Fluminense FC
Everaldo,EC Bahia,Fluminense FC
Everaldo,EC Vitória,Coritiba
Everton Bala,Levski Sofia,Mirassol FC
Everton Bala,Mirassol FC,Levski Sofia
Everton Galdino,FC Tokyo,Grêmio FBPA
Everton Galdino,Grêmio FBPA,FC Tokyo
Everton Galdino,Grêmio FBPA,FC Tokyo
Everton Moraes,EC Bahia,Ordabasy
Everton Moraes,Londrina,EC Bahia
Ewerthon,EC Juventude,Sport
Ewerthon,Juventude,Sport Recife
Fabiano,Moreirense,Ceará SC
Fabinho,SE Palmeiras,RB Bragantino
Fabinho,SE Palmeiras,RB Bragantino
Fabinho,Sport Recife,Retrô
Fabri,Levante,EC Vitória
Fabricio Bustos,SC Internacional,River Plate
Fabricio Dias,Fortaleza B,Fortaleza EC
Fabricio Dias,Fortaleza EC,Tombense
Fabricio Domínguez,Racing,Sport Recife
Fabricio Domínguez,Sport Recife,Racing
Fabrizio Angileri,Getafe,SC Corinthians
Fabrizio Peralta,Cerro Porteño,Cruzeiro EC
Fabrizio Peralta,Cruzeiro EC,Athletico Paranaense
