Jogador,Clube Origem,Clube Destino
Tchoca,Ceará SC,SC Corinthians
Tchoca,Ceará SC,SC Corinthians
Tchoca,SC Corinthians,Ceará SC
Tchoca,SC Corinthians,Ceará SC
Tchê Tchê,Botafogo FR,CR Vasco da Gama
Tchê Tchê,Botafogo FR,CR Vasco da Gama
Tevis,Cruzeiro EC,Athletico Paranaense
Tevis,Cruzeiro U20,Cruzeiro EC
Thaciano,EC Bahia,Santos FC
Thaciano,EC Bahia,Santos FC
Thalys,Palmeiras U20,SE Palmeiras
Thauan Lara,Fortaleza EC,SC Internacional
Thauan Lara,Fortaleza EC,SC Internacional
Thauan Lara,SC Internacional,Alverca
Thiago Almada,Atlanta,Botafogo FR
Thiago Almada,Botafogo FR,Lyon
Thiago Galhardo,Fortaleza EC,Santa Cruz
Thiago Galhardo,Goiás,Fortaleza EC
Thiago Maia,CR Flamengo,SC Internacional
Thiago Maia,CR Flamengo,SC Internacional
Thiago Maia,SC Internacional,CR Flamengo
Thiago Maia,SC Internacional,CR Flamengo
Thiago Silva,Chelsea,Fluminense FC
Thiaguinho,CR Flamengo,CRB
Thiaguinho,EC Juventude,EC Vitória
Thiaguinho,EC Vitória,Operário-PR
Thiaguinho,Juventude,EC Vitória
Thiaguinho,Treze,CR Flamengo
Thomazella,Mirassol FC,Portuguesa
Thomazella,Portuguesa,Mirassol FC
Thomazella,Portuguesa,Mirassol FC
Thonny  Anderson,Ituano,RB Bragantino
Thonny  Anderson,RB Bragantino,Tokushima Vort.
Tiago,Bahia U20,EC Bahia
Tiago Volpi,Toluca,Grêmio FBPA
Tiquinho Soares,Botafogo FR,Santos FC
Tiquinho Soares,Botafogo FR,Santos FC
Titi,Fortaleza EC,Goiás
Tobias Figueiredo,Criciúma,Fortaleza EC
Tobias Figueiredo,Fortaleza EC,Athletico Paranaense
Tomás Cardona,Fortaleza EC,CA Talleres
Tomás Cuello,Athletico Paranaense,Atlético Mineiro
Ulisses,CR Vasco da Gama,Nacional
Ulisses,Nacional,CR Vasco da Gama
Val Soares,EC Vitória,Ventforet Kofu
Val Soares,Marítimo,EC Vitória
Valentín Adamo,Botafogo FR,Boston River
Valentín Adamo,Unión Española,Botafogo FR
Vanderlei,Mirassol FC,São Bernardo
Victor Cuesta,EC Bahia,Newell's
Victor Hugo,CR Flamengo,Göztepe
Victor Hugo,Cascavel,Fluminense FC
Viery,Grêmio U20,Grêmio FBPA
Vina,Al-Hazem,Ceará SC
Vina,Ceará SC,Al-Jubail
Vinicius Balieiro,Santos FC,Chapecoense
Vinicius Lira,Santos U20,Santos FC
Vinni Faria,Sport Recife,Cianorte
Vinícius Lopes,Botafogo FR,Santa Clara
Vinícius Lopes,Santa Clara,Botafogo FR
Vinícius Paiva,CR Vasco da Gama,Vila Nova
Vinícius Paiva,Ituano,CR Vasco da Gama
Vitinho,Atlético Mineiro,RFS
Vitinho,Atlético-MG U20,Atlético Mineiro
Vitinho,Bahia U20,EC Bahia
Vitinho,Cruzeiro EC,Goiás
Vitinho,Dinamo de Kiev,SC Internacional
Vitinho,FC Burnley,Botafogo FR
Vitinho,Noroeste,RB Bragantino
Vitinho,Novorizontino,SE Palmeiras
Vitinho,RB Bragantino,Dinamo de Kiev
Vitinho,RB Bragantino,Noroeste
Vitinho,SE Palmeiras,Novorizontino
Vitinho Mota,Bragantino U20,RB Bragantino
Vitinho Mota,Desp. Brasil,RB Bragantino
Vitinho Mota,RB Bragantino,Desp. Brasil
Vitinho Mota,RB Bragantino,Londrina
Vitor Hugo,EC Bahia,Atlético Mineiro
Vitor Hugo,EC Bahia,Atlético Mineiro
Vitor Hugo,Panathinaikos,EC Bahia
Vitor Marinho,ABC,Botafogo FR
Vitor Marinho,Botafogo FR,Ypiranga-RS
Vitor Pernambuco,Al-Dhafra FC,EC Juventude
Vitor Reis,SE Palmeiras,Man City
Vitor Roque,Barcelona,SE Palmeiras
Vitão,SC Internacional,Shakhtar
Vitão,Shakhtar,SC Internacional
Vladimir,Guarani,Santos FC
Vladimir,Santos FC,Atlético-GO
Wagner Leonardo,EC Vitória,Grêmio FBPA
Wagner Leonardo,EC Vitória,Grêmio FBPA
Walace,Udinese,Cruzeiro EC
Wallace Davi,Fluminense U17,Fluminense FC
Wallace Yan,Flamengo U20,CR Flamengo
Walter,Cuiabá,Mirassol FC
Wanderson,EC Vitória,Amazonas
Wanderson,EC Vitória,Sul América-AM
Wanderson,Itabuna,EC Vitória
Wanderson,Mirassol FC,CRB
Wanderson,SC Internacional,Cruzeiro EC
Wanderson,SC Internacional,Cruzeiro EC
Wanderson,Sul América-AM,EC Vitória
Warley,Mirassol FC,Torpedo Kutaisi
Welington,São Paulo FC,Southampton
Wellington Alves,Inter Bebedouro,Mirassol FC
Wellington Alves,Mirassol FC,Jacobina
Wellington Rato,São Paulo FC,EC Vitória
Wellington Rato,São Paulo FC,EC Vitória
Wellington Silva,QD Hainiu,Sport Recife
Wellington Silva,Sport Recife,QD Hainiu
Wendel,FC Porto B,Santos FC
Wendel,Santos FC,FC Porto B
Wendell,FC Porto,São Paulo FC
Werik Popó,EC Juventude,RB Bragantino
Werik Popó,Juventude,RB Bragantino
Werik Popó,RB Bragantino,Criciúma
Wesley,SC Corinthians,Al-Nassr
Wesley Gasolina,Cruzeiro EC,Athletic
Weslley Patati,Santos FC,M. Tel Aviv
Weverton,Betim Futebol,Cruzeiro EC
Weverton,Cruzeiro EC,Betim Futebol
Weverton,Cruzeiro EC,Vila Nova
Wilker Ángel,Criciúma,EC Juventude
Willean Lepo,EC Vitória,Goiás
William Gomes,São Paulo FC,FC Porto
Willian Bigode,Fluminense FC,Santos FC
Willian Bigode,Fluminense FC,Santos FC
Willian Bigode,Santos FC,América-MG
Willian Bigode,Santos FC,Fluminense FC
Willian Bigode,Santos FC,Fluminense FC
Willian José,Spartak Moscou,EC Bahia
Willian Machado,Operário-PR,Ceará SC
Yago Felipe,EC Bahia,Mirassol
Yago Felipe,EC Bahia,Mirassol FC
Yago Lincoln,Ceará SC,Londrina
Yan Souto,CRB,EC Juventude
Yan Souto,EC Juventude,CRB
Yan Souto,EC Juventude,Criciúma
Yan Souto,Goiás,EC Juventude
Yannick Bolasie,Criciúma,Cruzeiro EC
Yarlen,Botafogo U20,Botafogo FR
Yeferson Soteldo,Grêmio FBPA,Santos FC
Yeferson Soteldo,Grêmio FBPA,Santos FC
Yeferson Soteldo,Santos FC,Fluminense FC
Yeferson Soteldo,Santos FC,Fluminense FC
Yony González,Atlético-GO,Fluminense FC
Yony González,Fluminense FC,Paysandu
Yony González,Fluminense FC,Sem clube
Yony González,Paysandu,Fluminense FC
Yuri Lima,Mirassol FC,Sem clube
Yuri Sena,Azuriz,EC Vitória
Yuri Sena,CSA,EC Vitória
Yuri Sena,EC Vitória,Azuriz
Yuri Sena,EC Vitória,Jequié
Yusupha Njie,Al-Markhiya SC,Santos FC
Zeca,EC Vitória,Mirassol
Zeca,EC Vitória,Mirassol FC
Zeca,Mirassol FC,Coritiba
Zinho,Grêmio FBPA,Portimonense
Zinho,Portimonense,Grêmio FBPA
Zé Gabriel,CR Vasco da Gama,Coritiba
Zé Gabriel,CR Vasco da Gama,Sem clube
Zé Gabriel,Coritiba,CR Vasco da Gama
Zé Hugo,EC Vitória,Azuriz
Zé Ivaldo,Cruzeiro EC,Santos FC
Zé Ivaldo,Cruzeiro EC,Santos FC
Zé Lucas,Sport U17,Sport Recife
Zé Marcos,EC Juventude,EC Vitória
Zé Marcos,Juventude,EC Vitória
Zé Mário,Mirassol FC,Ponte Preta
Zé Mário,Ponte Preta,Mirassol FC
Zé Rafael,SE Palmeiras,Santos FC
Zé Rafael,SE Palmeiras,Santos FC
Zé Roberto,Sport,Ceará SC
Zé Roberto,Sport Recife,Ceará SC
Zé Vitor,CR Vasco da Gama,Boavista
Zé Vitor,CR Vasco da Gama,Leiria
Zé Vitor,Maringá,Mirassol FC
Zé Vitor,Volta Redonda,CR Vasco da Gama
Zé Vitor,Ypiranga-RS,CR Vasco da Gama
Álvaro Barreal,Cincinnati,Santos FC
Álvaro Barreal,Cruzeiro EC,Cincinnati
Éder,América-MG,Ceará SC
Ênio,Amazonas,EC Juventude
Ênio,Amazonas,EC Juventude
Óscar Estupiñán,EC Bahia,Hull City
Óscar Romero,Botafogo FR,Sem clube
Óscar Romero,Sem clube,SC Internacional
